"","x","y"
"18020546",843150,-275100
"12894609",757260,-254880
"46969551",747030,-389370
"13171823",864600,-255960
"12646785",847530,-253890
"1924755",708930,-211590
"29224018",831090,-319320
"43441021",697050,-375450
"43152760",714360,-374310
"26496257",861030,-308550
"50398621",777600,-402900
"29480368",768570,-320340
"27212579",687840,-311400
"44975490",669060,-381510
"37254322",712500,-351030
"30946137",731850,-326130
"51674874",756150,-407940
"39409698",841290,-359520
"10457692",847380,-245250
"53372282",827700,-414630
"43958079",702750,-377490
"44434071",844650,-379350
"28893195",711690,-318030
"24350794",801600,-300090
"33118786",694740,-334710
"50441580",698190,-403080
"26522626",739980,-308670
"26695681",686940,-309360
"50543262",784260,-403470
"34676647",684420,-340860
"8215239",842640,-236400
"16370123",812970,-268590
"21885241",716730,-290370
"45137938",753870,-382140
"22223752",838740,-291690
"25292062",763920,-303810
"8990815",850860,-239460
"23964493",842100,-298560
"29255234",855450,-319440
"50110154",788730,-401760
"8435469",836670,-237270
"6054408",778230,-227880
"8826600",713040,-238830
"19416774",772470,-280620
"16413338",741240,-268770
"9918606",864930,-243120
"29922124",795510,-322080
"41594011",698040,-368160
"26252884",856800,-307590
"12255163",728400,-252360
"25444523",777150,-304410
"29601128",742890,-320820
"13881144",709410,-258780
"11603038",775230,-249780
"23987237",840330,-298650
"29413243",807090,-320070
"44145058",839400,-378210
"15260293",810450,-264210
"44081072",744060,-377970
"8135923",743460,-236100
"16035325",802350,-267270
"14032549",690960,-259380
"33799370",817590,-337380
"27151734",686730,-311160
"29063767",812190,-318690
"15214991",819570,-264030
"54672291",834840,-419760
"27048062",768990,-310740
"32031642",688710,-330420
"31251317",766050,-327330
"11716773",766830,-250230
"24425091",750210,-300390
"10556819",856800,-245640
"22285631",870870,-291930
"17337014",859890,-272400
"43703666",823380,-376470
"26889927",813570,-310110
"46506807",774540,-387540
"36285087",823290,-347190
"45003288",818910,-381600
"21823779",697110,-290130
"50748588",787230,-404280
"25163618",787110,-303300
"29536476",855600,-320550
"23537535",803040,-296880
"32947057",787560,-334020
"19928483",845730,-282630
"9578587",697680,-241800
"17963691",733710,-274890
"39029973",851040,-358020
"37084167",852540,-350340
"22857283",690150,-294210
"40825663",678630,-365130
"25564979",742350,-304890
"44779781",726570,-380730
"45209357",844170,-382410
"22100762",797520,-291210
"34320526",718200,-339450
"9935973",701850,-243210
"14158537",822120,-259860
"41042985",813450,-365970
"19774577",789150,-282030
"19425411",803550,-280650
"16455607",869160,-268920
"42780750",727530,-372840
"31925606",700050,-330000
"16642409",772470,-269670
"32377870",814200,-331770
"43227631",680190,-374610
"10960341",876870,-247230
"38705520",694710,-356760
"47333983",734550,-390810
"11730840",732780,-250290
"46363968",821940,-386970
"46856822",785610,-388920
"52426885",741510,-410910
"22071823",841470,-291090
"28805390",813900,-317670
"25119892",843510,-303120
"24409818",748080,-300330
"2958772",717360,-215670
"23746695",693000,-297720
"27577799",699000,-312840
"29228846",747900,-319350
"13353582",844650,-256680
"10711183",699090,-246270
"42988367",799230,-373650
"26144021",783330,-307170
"14049542",744690,-259440
"50855663",807060,-404700
"15524879",766980,-265260
"22462180",694620,-292650
"26338666",693900,-307950
"33350019",790830,-335610
"48283787",724920,-394560
"52216989",829470,-410070
"12156048",719340,-251970
