"Latitude","Longitude","NDWI","NDVI","HSI","DATA","COLECAO"
-286500,671340,-0.367545545101166,0.289456427097321,0.657001972198486,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-411990,709470,-0.363834410905838,0.285340189933777,0.649174571037292,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-372270,732120,-0.218731388449669,0.173267036676407,0.391998410224915,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-417750,816210,-0.374146401882172,0.290755182504654,0.664901614189148,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-341640,777900,-0.37749645113945,0.293777942657471,0.671274423599243,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-362850,679020,-0.354085594415665,0.280305445194244,0.634391069412231,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-222810,770340,-0.353165537118912,0.277634620666504,0.630800127983093,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-341520,869550,-0.366534143686295,0.285907506942749,0.652441620826721,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-241470,732390,-0.401210218667984,0.304801911115646,0.70601212978363,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-406470,831150,-0.370960652828217,0.291637867689133,0.662598490715027,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-417510,831120,-0.383025974035263,0.29522117972374,0.678247153759003,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-387270,869490,-0.351695209741592,0.278697997331619,0.630393207073212,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-221910,854190,-0.366954445838928,0.287445455789566,0.654399871826172,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-325380,816060,-0.377050310373306,0.291991949081421,0.669042229652405,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-423630,686700,-0.367407828569412,0.286274611949921,0.653682470321655,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-403950,701820,-0.369735449552536,0.286980599164963,0.656716048717499,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-334350,831480,-0.367622375488281,0.287083894014359,0.654706239700317,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-376560,694230,-0.356377720832825,0.281368523836136,0.637746214866638,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-409500,724740,-0.35891729593277,0.282506465911865,0.641423761844635,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-391110,861900,-0.373103946447372,0.291098266839981,0.664202213287354,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-369240,702000,-0.373499900102615,0.288999021053314,0.662498950958252,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-385500,839070,-0.37371090054512,0.289519935846329,0.663230836391449,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-376410,724770,-0.387774527072906,0.297182738780975,0.684957265853882,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
