"","20241012_ndwi","20241112_ndwi","20241012_hsi","20241112_hsi","20241012_ndvi","20241112_ndvi","x","y"
"ndwi_pred.coord_116",-0.221699637065841,-0.224281741450396,0.264013388471103,0.266204315684437,0.0429472693203214,0.0393760820142977,709050,-274350
"ndwi_pred.coord_117",-0.30981937488717,-0.310659784239968,0.400257093572492,0.399243314377261,0.096019983106986,0.0927775984459742,800250,-253980
"ndwi_pred.coord_118",-0.29507977736669,-0.293704406641961,0.405630878116744,0.40515296562489,0.113406699937596,0.109467042395123,724650,-403500
"ndwi_pred.coord_119",-0.287646682651409,-0.288309178298298,0.383321458053686,0.38422373384905,0.100564754972268,0.0923237693438196,818850,-321090
"ndwi_pred.coord_120",-0.0245409716443461,-0.024057813378796,0.0391025927177918,0.0399429707080213,0.0148818176795566,0.0147702410974216,768780,-318030
"ndwi_pred.coord_121",-0.350423747349084,-0.351971148383381,0.465130930241796,0.461606336384465,0.118990459338412,0.116049168548508,685830,-286740
"ndwi_pred.coord_122",-0.258937176853471,-0.257997929908463,0.315344303943266,0.314126517572,0.0548883061429758,0.0551609874798875,827190,-382980
"ndwi_pred.coord_123",-0.291548445449134,-0.291894832757861,0.405947317783904,0.396434990895459,0.107679266660701,0.108086963460077,751020,-376830
"ndwi_pred.coord_124",-0.318389771051412,-0.315866589158526,0.4373140810843,0.436537511885686,0.128822085155927,0.123677592356722,750810,-407520
"ndwi_pred.coord_125",-0.262434645749951,-0.258713721944869,0.361039816279825,0.355554664668981,0.0970501614413428,0.0912416374275892,822480,-281640
